epoch,step,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
40,5749,,0.022690260782837868,,0.009010180830955505,,0.9297444820404053,,,
40,5780,,,,,,,0.01674473099410534,0.00669844588264823,0.9523869752883911
40,5780,0.028400618582963943,,0.009231624193489552,,0.9172162413597107,,,,
41,5799,,0.012160655111074448,,0.00630278280004859,,0.9623008370399475,,,
41,5849,,0.01840979792177677,,0.007488005328923464,,0.9115790128707886,,,
41,5899,,0.016369309276342392,,0.0067444839514791965,,0.9496725797653198,,,
41,5921,,,,,,,0.014131776988506317,0.006101558450609446,0.9598168134689331
41,5921,0.023016875609755516,,0.008299647830426693,,0.9329443573951721,,,,
42,5949,,0.03499341011047363,,0.01048612967133522,,0.8287026882171631,,,
42,5999,,0.024564113467931747,,0.007679379545152187,,0.8758131861686707,,,
42,6049,,0.02647915855050087,,0.009739329107105732,,0.929854154586792,,,
42,6062,,,,,,,0.03443749248981476,0.010552351363003254,0.9020782709121704
42,6062,0.02372927963733673,,0.008361976593732834,,0.9308633208274841,,,,
43,6099,,0.01984812505543232,,0.00823334138840437,,0.951812744140625,,,
43,6149,,0.01622549071907997,,0.00797576829791069,,0.9586179256439209,,,
43,6199,,0.017498400062322617,,0.007777519524097443,,0.9556270241737366,,,
43,6203,,,,,,,0.016993600875139236,0.006864003837108612,0.9516793489456177
43,6203,0.024271667003631592,,0.008449695073068142,,0.9292687177658081,,,,
44,6249,,0.016898263245821,,0.007035513874143362,,0.9276180267333984,,,
44,6299,,0.01579778641462326,,0.007538170553743839,,0.9592760801315308,,,
44,6344,,,,,,,0.01858612336218357,0.007126608397811651,0.9471510648727417
44,6344,0.026690511032938957,,0.00906149111688137,,0.922232449054718,,,,
45,6349,,0.05836351215839386,,0.01173371821641922,,0.8515692949295044,,,
45,6399,,0.01538260467350483,,0.007517500314861536,,0.9657395482063293,,,
45,6449,,0.033347487449645996,,0.01024839747697115,,0.8721354603767395,,,
45,6485,,,,,,,0.028596406802535057,0.009090146981179714,0.9186872243881226
45,6485,0.025708453729748726,,0.008729019202291965,,0.925060510635376,,,,
46,6499,,0.01252550259232521,,0.006272796541452408,,0.9683232307434082,,,
46,6549,,0.025911882519721985,,0.009892060421407223,,0.902241587638855,,,
46,6599,,0.03062446601688862,,0.011066827923059464,,0.8946453928947449,,,
46,6626,,,,,,,0.022997962310910225,0.008423101156949997,0.9346061944961548
46,6626,0.021366285160183907,,0.007954953238368034,,0.9377329349517822,,,,
47,6649,,0.031786348670721054,,0.010797715745866299,,0.893543004989624,,,
47,6699,,0.013963373377919197,,0.006108553148806095,,0.9581743478775024,,,
