"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2018","74.81","73.23","74.98","72.81","2.30M","2.49%"
"10/15/2018","72.99","72.73","73.77","72.54","3.21M","0.75%"
"10/12/2018","72.45","71.95","72.96","71.26","3.58M","2.40%"
"10/11/2018","70.75","70.75","72.52","70.19","3.61M","-0.04%"
"10/10/2018","70.78","71.79","72.28","70.62","3.46M","-0.78%"
"10/09/2018","71.34","70.90","72.94","70.77","4.04M","-0.06%"
"10/08/2018","71.38","72.19","72.65","70.17","3.80M","-1.61%"
"10/05/2018","72.55","72.58","74.60","71.67","3.02M","-0.82%"
"10/04/2018","73.15","75.01","75.21","73.00","3.68M","-2.48%"
"10/03/2018","75.01","75.39","75.73","74.37","3.26M","-0.25%"
"10/02/2018","75.20","79.00","79.07","75.08","3.95M","-4.82%"
"10/01/2018","79.01","79.57","79.82","78.28","2.13M","-0.44%"
"09/28/2018","79.36","77.96","80.14","77.96","3.34M","1.41%"
"09/27/2018","78.26","79.53","79.81","78.07","2.73M","-1.72%"
"09/26/2018","79.63","78.41","80.42","78.20","2.50M","2.27%"
"09/25/2018","77.86","79.32","79.99","77.24","2.63M","-1.96%"
"09/24/2018","79.42","80.97","81.66","79.28","3.65M","-1.51%"
"09/21/2018","80.64","79.80","81.53","79.79","5.21M","1.36%"
"09/20/2018","79.56","77.89","79.70","77.70","3.43M","2.34%"
"09/19/2018","77.74","77.79","78.18","77.12","2.31M","0.05%"
"09/18/2018","77.70","76.53","77.91","76.44","3.30M","0.86%"
"09/17/2018","77.04","78.25","78.90","76.91","2.83M","-1.72%"
"09/14/2018","78.39","78.61","79.06","77.63","3.04M","-0.22%"
"09/13/2018","78.56","78.26","79.19","77.87","2.70M","0.40%"
"09/12/2018","78.25","77.56","78.32","77.05","2.85M","0.88%"
"09/11/2018","77.57","77.17","77.95","76.68","2.58M","0.34%"
"09/10/2018","77.31","78.64","78.74","76.92","3.21M","-1.13%"
"09/07/2018","78.19","78.95","79.57","77.86","3.03M","-1.31%"
"09/06/2018","79.23","79.50","79.97","78.97","3.22M","0.20%"
"09/05/2018","79.07","80.44","81.24","78.73","3.62M","-2.00%"
"09/04/2018","80.68","79.51","80.98","79.16","3.64M","1.41%"
"08/31/2018","79.56","77.95","79.64","77.62","5.22M","1.99%"
"08/30/2018","78.01","77.60","78.50","77.19","3.23M","0.49%"
"08/29/2018","77.63","77.79","77.99","76.62","5.44M","0.08%"
"08/28/2018","77.57","77.50","79.25","74.76","18.46M","-5.01%"
"08/27/2018","81.66","83.04","83.20","81.42","5.29M","-0.51%"
"08/24/2018","82.08","83.05","83.10","80.92","4.14M","-0.63%"
"08/23/2018","82.60","80.99","82.72","80.99","3.39M","2.04%"
"08/22/2018","80.95","81.90","84.37","80.63","4.08M","-0.59%"
"08/21/2018","81.43","79.40","81.82","79.17","4.70M","2.58%"
"08/20/2018","79.38","78.54","79.72","78.28","2.47M","1.15%"
"08/17/2018","78.48","76.92","78.70","76.69","1.82M","2.04%"
"08/16/2018","76.91","78.13","78.37","76.48","3.70M","0.69%"
"08/15/2018","76.38","78.26","78.26","75.74","3.63M","-2.74%"
"08/14/2018","78.53","77.45","79.01","77.30","2.98M","1.89%"
"08/13/2018","77.07","78.95","79.23","77.02","2.10M","-2.08%"
"08/10/2018","78.71","78.24","79.25","78.00","1.74M","0.04%"
"08/09/2018","78.68","78.06","79.05","77.78","2.24M","1.80%"
"08/08/2018","77.29","76.88","77.52","76.63","1.53M","0.00%"
"08/07/2018","77.29","76.62","77.64","76.53","1.66M","1.14%"
"08/06/2018","76.42","76.03","76.63","75.88","1.39M","0.45%"
"08/03/2018","76.08","76.11","77.22","75.69","1.43M","0.21%"
"08/02/2018","75.92","74.38","76.06","74.31","1.52M","1.39%"
"08/01/2018","74.88","75.19","76.46","74.72","2.31M","-0.20%"
"07/31/2018","75.03","74.57","75.49","74.40","2.20M","0.79%"
"07/30/2018","74.44","74.56","74.86","73.78","3.13M","-0.32%"
"07/27/2018","74.68","75.90","76.50","74.36","2.48M","-1.75%"
"07/26/2018","76.01","75.62","76.88","75.50","2.13M","0.92%"
"07/25/2018","75.32","75.20","75.44","74.40","2.27M","0.09%"
"07/24/2018","75.25","77.10","77.62","74.86","2.42M","-1.51%"
"07/23/2018","76.40","75.97","76.92","75.75","1.53M","0.38%"
"07/20/2018","76.11","77.51","77.74","76.03","2.79M","-2.40%"
"07/19/2018","77.98","76.35","78.79","76.20","3.40M","2.13%"
"07/18/2018","76.35","76.60","76.88","75.97","1.91M","-0.27%"
"07/17/2018","76.56","75.78","76.83","75.49","1.91M","1.43%"
"07/16/2018","75.48","75.75","76.22","75.22","1.59M","-0.53%"
